No.,Brand,Product,Category,Standard Size,Volume (L),Weight (kg),Est. Price (PHP),Availability
246,Omega,Omega Paint Brush 1/2 in,Accessory / tool,piece / assorted,,,35,Active
247,Omega,Omega Paint Brush 2 in,Accessory / tool,piece / assorted,,,80,Active
248,Omega,Omega Paint Brush 2.5 in,Accessory / tool,piece / assorted,,,95,Active
249,Omega,Omega Paint Brush 3 in,Accessory / tool,piece / assorted,,,120,Active
250,Omega,Omega Paint Brush 3/4 in,Accessory / tool,piece / assorted,,,35,Active
251,Omega,Omega Paint Brush 4 in,Accessory / tool,piece / assorted,,,150,Active
252,Omega,Omega Paint Tray Black-Plastic,Accessory / tool,piece / assorted,,,100,Active
253,Omega,Omega Putty Knife Big,Putty / filler / sealer,piece / assorted,,,250,Active
254,Omega,Omega Putty Knife Small,Putty / filler / sealer,piece / assorted,,,250,Active
255,Omega,Omega Putty Knife w Handle 2 in,Putty / filler / sealer,piece / assorted,,,250,Active
256,Omega,Omega Putty Knife w Handle 4 in,Putty / filler / sealer,piece / assorted,,,250,Active
257,Omega,Omega Roller 4 Cotton FILLER,Putty / filler / sealer,piece / assorted,,,250,Active
258,Omega,Omega Roller 7 Cotton SET,Accessory / tool,piece / assorted,,,220,Active
259,Omega,Omega Roller 4 Cotton SET,Accessory / tool,piece / assorted,,,150,Active
260,Omega,Omega Roller 4 Foam FILLER,Putty / filler / sealer,piece / assorted,,,250,Active
261,Omega,Omega Roller 4 Foam SET,Accessory / tool,piece / assorted,,,150,Active
262,Omega,Omega Roller 4 Wool FILLER,Putty / filler / sealer,piece / assorted,,,250,Active
263,Omega,Omega Roller 4 Wool SET,Accessory / tool,piece / assorted,,,150,Active
264,Omega,Omega Roller 7 Cotton FILLER,Putty / filler / sealer,piece / assorted,,,250,Active
265,Omega,Omega SP #100,Accessory / tool,piece / assorted,,,15,Active
266,Omega,Omega SP #1000,Accessory / tool,piece / assorted,,,15,Active
267,Omega,Omega SP #120,Accessory / tool,piece / assorted,,,15,Active
268,Omega,Omega SP #1200,Accessory / tool,piece / assorted,,,15,Active
269,Omega,Omega SP #150,Accessory / tool,piece / assorted,,,15,Active
270,Omega,Omega SP #1500,Accessory / tool,piece / assorted,,,15,Active
271,Omega,Omega SP #180,Accessory / tool,piece / assorted,,,15,Active
272,Omega,Omega SP #2000,Accessory / tool,piece / assorted,,,15,Active
273,Omega,Omega SP #220,Accessory / tool,piece / assorted,,,15,Active
274,Omega,Omega SP #240,Accessory / tool,piece / assorted,,,15,Active
275,Omega,Omega SP #280,Accessory / tool,piece / assorted,,,15,Active
276,Omega,Omega SP #320,Accessory / tool,piece / assorted,,,15,Active
277,Omega,Omega SP #36,Accessory / tool,piece / assorted,,,15,Active
